Phenotype	PC_1	PC_2	PC_3	PC_4	PC_5	PC_6	PC_7	PC_8	PC_9	PC_10	PC_11	PC_12	PC_13	PC_14	PC_15	PC_16	PC_17	PC_18	PC_19	PC_20	PC_21	PC_22	PC_23	PC_24	PC_25	PC_26	PC_27	PC_28	PC_29	PC_30	PC_31	PC_32	PC_33
RA	2.364101	33.79435	7.4841576	31.275576	-0.5795626	37.602535	15.885415	0.5406335	0.4998021	1.3918512	-3.5566244	-0.12283882	1.2901764	1.9691374	-0.3148891	0.13645008	-0.4577968	0.896736	0.1926556	0.35877618	0.3392822	0.061158825	0.05533007	0.09304802	-0.11121317	0.087658636	-0.055243373	-0.04156203	0.014534714	-0.04646134	-0.022327539	-1.1213964e-07	-2.7580064e-15
SLE	-1.1005696	-10.234716	-4.951277	-11.95896	-3.452284	1.4301966	4.862073	0.3396635	-1.472693	2.9997208	-0.7685272	0.69203156	-3.04292	-0.46018872	-1.238672	-0.689704	-3.2107062	1.7065722	0.64566493	-3.8383684	4.318618	0.028321441	1.6931335	1.6812257	1.5136226	-1.0882126	-1.5667182	0.09658028	0.9455996	-0.26781026	0.022282574	-2.9639733e-07	-2.7580064e-15
Sjogren_Syndrome	-5.2590795	-4.0812187	-7.05846	-13.141262	-5.123773	5.3621054	5.1351357	0.22807261	-0.11259434	5.5977902	5.4212646	2.2173069	-3.0753086	0.9860045	-3.607944	5.181265	-3.7068858	-1.4539342	-1.8551499	3.3778126	-1.1149385	-3.3948936	-1.048396	-0.4990208	0.6563617	-0.59697515	-0.059786566	0.2102214	-0.1499029	0.029670864	-0.03793256	-2.811403e-07	-2.7580064e-15
Chronic_Glomerulonephritis	0.61588603	-9.186616	-3.5650043	-7.1347947	2.3744266	1.6535177	1.8913405	-1.7221502	-2.0527687	0.627064	-2.9854114	0.21052244	-1.2227701	-0.8146435	-1.8195997	-0.78419393	-1.3971786	0.6474124	2.9176667	-1.0493166	0.3060716	0.9201202	-0.7209869	0.14103049	1.0538008	0.6890908	0.70717925	1.3171462	-2.4421823	1.7794504	-0.08391247	6.289196e-07	-2.7580064e-15
IgA_nephritis	11.748604	-8.968311	0.034039382	17.832518	14.69204	-2.7757256	-12.869977	5.7677155	-3.3933852	-8.072045	-2.2728324	7.1321964	1.58146	0.38514122	-2.9391394	-0.54973286	-3.6899915	-3.087983	-0.14539798	1.4842677	1.3784891	1.3885369	-0.6039162	-1.9162736	-0.1224499	0.17331004	-0.72440326	0.38232124	0.6757841	0.28098795	0.041354027	1.8435217e-09	-2.7580064e-15
Nephrotic_Syndrome	-5.2126546	-5.050069	-3.1121376	-8.276776	-1.1368428	-0.0561115	5.677741	-2.4280434	-2.1573503	-1.4512796	-5.0496683	1.7344161	-0.8462633	-1.0128181	-1.4321694	-1.3295755	1.3244237	-0.6302712	2.9034772	0.55934906	-3.606595	0.94380736	-0.5611534	-0.89317197	3.0764008	-0.2726367	-0.41710773	-2.1641102	0.36216617	-0.48107475	0.19731723	-2.625557e-08	-2.7580064e-15
Hashimoto_Disease	-20.234789	-4.340291	-3.037107	6.803187	-12.496756	-0.6861429	-4.688044	-11.480218	14.643858	-6.9555306	5.6240273	4.4376044	2.5875225	3.6951938	-3.2344608	-0.80624515	0.42438447	1.32643	0.8882411	-1.3602072	-0.21273279	-0.009180037	-0.2731291	0.5567634	-0.16114452	-0.50442064	0.09337737	-0.09710631	-0.098845996	-0.008557159	0.008095942	-3.041876e-08	-2.7580064e-15
Hearing_Loss	7.2315617	-5.6892614	-2.1610281	-1.5481172	9.366448	-0.5947855	-3.1524932	3.2631664	-5.61742	1.7848635	6.464906	-4.2542653	-0.76240623	8.032571	-0.21237803	-0.8275473	1.157019	0.30140886	1.8685924	1.5911148	2.038899	1.6377671	-0.86908424	-0.057535566	-0.8465892	-1.1018097	-0.20980027	-1.4482161	-1.1182978	-0.6173532	0.29317144	-1.395068e-07	-2.7580064e-15
Angina	3.0897684	-9.440588	-0.45755973	3.0157356	5.068745	-0.19502549	-1.4184194	0.03593921	-4.095448	-5.4284205	-2.699638	2.2190032	-1.0886083	-0.19489647	1.6317964	-0.25533432	-0.1864117	1.5567513	-1.8634653	-0.9823636	-0.5197531	-2.6894395	0.12917699	1.8540375	-0.57901555	-0.19641334	1.1231188	-0.34325936	-0.15872225	0.19600314	1.6514355	-4.8910016e-07	-2.7580064e-15
PAD	-5.101126	-6.1168027	2.6089323	-1.9011312	3.49671	-3.559191	2.5142157	-7.0975266	-0.7101166	-0.45121983	-0.06884077	-5.751838	0.17594746	3.2641468	0.5540927	-2.7306051	-0.56142086	-0.78779036	-3.0401695	0.24286257	2.071957	-1.2969155	-1.7606565	-0.38157028	1.1053216	3.191795	0.4830579	-0.7793685	0.8527998	0.62170076	-0.22617365	4.4176582e-07	-2.7580064e-15
SAP	4.1460543	-9.567339	0.35273516	6.3043737	7.0854597	-1.4222516	-3.0738797	-0.23889832	-3.8656995	-5.8370075	-2.8585627	1.8932672	-2.1714845	-0.4895148	2.1374779	-0.51649654	-0.4293347	0.8320557	0.015652755	-0.69036484	0.34993038	-2.7088509	0.07275008	0.91469127	-0.2524865	-1.3692137	1.8585335	-0.8535662	-0.43371457	-0.6280137	-1.3965884	2.1011192e-07	-2.7580064e-15
Varicose	13.642667	-11.49826	-4.593786	9.543636	13.106245	-3.8021195	-8.733726	1.512701	6.933591	5.4550033	-0.63025475	-5.1077003	6.388346	0.5694057	2.392061	1.5499964	-2.7017345	0.19913004	2.525541	0.03221057	-0.5241802	-1.6807529	3.798029	-1.704433	0.6885153	0.21033269	0.5186707	-0.3256308	-0.005496589	0.09962544	0.14686845	-1.5370384e-07	-2.7580064e-15
COPD	-1.2872267	-8.487152	0.8171913	-0.37666687	2.1877582	-1.913884	3.5083194	-5.074697	-1.0876778	-2.4823155	-2.4149482	-1.3831742	-1.1123196	2.1503575	1.9065447	-2.9767373	-0.028322868	-2.401998	-3.3218858	-0.00058802165	-2.273746	-0.8791214	2.1532874	-0.039473724	-0.58450377	0.0009640578	-2.861385	0.79214406	-1.3005939	-0.60515267	-0.16927795	-2.591276e-07	-2.7580064e-15
Chronic_Sinusitis	-0.80855376	-1.7674226	0.05036256	8.223385	7.958376	3.8261042	0.12474015	-3.8194847	1.9134061	1.0069604	6.308257	-2.5528934	-1.0414608	-4.83077	1.685927	-1.8771576	-0.75089216	-4.0767245	-2.3348024	1.5400649	0.098315574	2.9619405	0.6667823	2.0031397	1.6463577	-1.0132576	1.6012639	0.6550317	-0.037567936	-0.46513158	0.1604206	-2.9324096e-09	-2.7580064e-15
JRA	7.4688697	-7.658114	-5.1943097	-4.5960307	3.354265	2.927713	-4.0500774	4.3956776	-4.309407	0.4903285	2.7573705	4.45239	-2.3542736	5.8305054	0.38910267	1.212053	2.6658022	2.360001	0.09553017	0.80839634	-2.4146607	1.4166902	2.590351	2.0258014	0.6294727	1.5542147	0.5277004	1.2008228	1.0224143	0.29321808	-0.32149005	1.5933617e-07	-2.7580064e-15
